Bayer Name	RA	Dec	Mag
14 Ori	5.13	8.50	5.33
105 Tau	5.13	21.70	5.84
103 Tau	5.14	24.27	5.5
68 Eri	5.15	-4.46	5.11
69Lam Eri	5.15	-8.75	4.25
16 Ori	5.16	9.83	5.43
15 Ori	5.16	15.60	4.81
3Iot Lep	5.20	-11.87	4.45
5Mu  Lep	5.22	-16.21	3.29
4Kap Lep	5.22	-12.94	4.36
17Rho Ori	5.22	2.86	4.46
11Mu  Aur	5.22	38.48	4.82
14 Cam	5.23	62.69	6.49
The Dor	5.23	-67.19	4.81
19Bet Ori	5.24	-8.20	0.18
14 Aur	5.26	32.69	5.01
108 Tau	5.26	22.28	6.26
18 Ori	5.27	11.34	5.52
13Alp Aur	5.28	46.00	0.08
Omi Col	5.29	-34.89	4.81
20Tau Ori	5.29	-6.84	3.59
16 Aur	5.30	33.37	4.54
17 Aur	5.31	33.77	6.15
15Lam Aur	5.32	40.10	4.69
21 Ori	5.32	2.60	5.34
109 Tau	5.32	22.10	4.96
Zet Pic	5.32	-50.61	5.44
18 Aur	5.32	33.99	6.49
15 Cam	5.32	58.12	6.13
